number,conversation_id,title,create_time_utc,update_time_utc,default_model_slug,source_shard,mapping_node_count,canonical_message_count,all_message_count,canonical_transcript_path,canonical_sha256,all_nodes_transcript_path,all_nodes_sha256,raw_record_path,raw_record_sha256
11,687e842e-3db4-8325-8050-a24b8d030987,SMES system architecture,2025-07-21T18:17:19.270336+00:00,2025-07-21T23:17:55.835896+00:00,gpt-4o,conversations-000.json,173,172,172,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/011_SMES system architecture_687e842e-3db4-8325-8050-a24b8d030987.md,553fb051e7adbc2e9ee2734d074678cc3e7880fb2409510aebd5c3859246706b,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/011_SMES system architecture_687e842e-3db4-8325-8050-a24b8d030987.md,aef8dd44a45ae225c533809aeea3db23ed16f57092891e1a69cde8e19d40eeb8,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/011_SMES system architecture_687e842e-3db4-8325-8050-a24b8d030987.json,1de4b9e533276bdaf8d4d0e90b3815e72d270066849ada3b2ba45a223855bfc6
12,687ee023-ae68-832b-8424-303d3cd32733,Focus window inquiry,2025-07-22T00:50:06.648870+00:00,2025-07-22T00:59:17.613968+00:00,gpt-4o,conversations-000.json,15,14,14,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/012_Focus window inquiry_687ee023-ae68-832b-8424-303d3cd32733.md,11b62e1d530f9e98bd4bfd5b2b24f8a12eca14dbac15cdc51c92239df60a31eb,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/012_Focus window inquiry_687ee023-ae68-832b-8424-303d3cd32733.md,ae5470b943e79bf142faaa91d0a4732f863293d29a395ca8a5100057762b55a5,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/012_Focus window inquiry_687ee023-ae68-832b-8424-303d3cd32733.json,729640e4d793ccac3353841cc35e094b6f383047c06f5d1d7aebb58c3670a3ca
13,687f0fc9-a71c-8332-8a8a-49492116fe48,Four Faces Echo,2025-07-22T04:13:27.931550+00:00,2025-07-23T22:38:17.121603+00:00,gpt-4o,conversations-000.json,99,98,98,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/013_Four Faces Echo_687f0fc9-a71c-8332-8a8a-49492116fe48.md,8a442eb08e2841a8443bf88f9aceecc1d6af23dae08897e84f4356867816e873,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/013_Four Faces Echo_687f0fc9-a71c-8332-8a8a-49492116fe48.md,5bb7050658b90190d2a024b50fdf92fff83c0e2b54c046ceee091e6635d7184f,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/013_Four Faces Echo_687f0fc9-a71c-8332-8a8a-49492116fe48.json,d5a4e6223eaa2cd8ac9d9fe3b1e2f66b0b6d6e1dac3edf0e50f9b554203580b6
14,687f30b7-e5f4-8327-8d0e-88e5c4fe7abb,Conversation Summary Request,2025-07-22T06:33:29.244467+00:00,2025-07-26T00:32:33.480426+00:00,gpt-4o,conversations-000.json,1046,1043,1045,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/014_Conversation Summary Request_687f30b7-e5f4-8327-8d0e-88e5c4fe7abb.md,e003edf82e88750b8c26dca31f684a9044e81cc38daff871e65b276c82bd27ce,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/014_Conversation Summary Request_687f30b7-e5f4-8327-8d0e-88e5c4fe7abb.md,d05f7116bef5bb57f9eb2639998af2dbfd47acd24667940a1f47e65838666370,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/014_Conversation Summary Request_687f30b7-e5f4-8327-8d0e-88e5c4fe7abb.json,07a845a735676a73b6cedf16fe5e7fb07e675a0c2cf0571097cb004018ebfa57
15,6881dba7-c2e0-8325-af31-8407dcca1d68,Hey Rickey Response,2025-07-24T07:07:20.597836+00:00,2025-07-30T19:29:17.188309+00:00,gpt-4o,conversations-000.json,241,239,240,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/015_Hey Rickey Response_6881dba7-c2e0-8325-af31-8407dcca1d68.md,8af1d4a543dd0ad265764ab71f487e2e9c65cbb4a4e4a46a3e4a87c54b93d74c,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/015_Hey Rickey Response_6881dba7-c2e0-8325-af31-8407dcca1d68.md,eb6cac1c51b6b5cf525308a024be39f6ff1cf92fa3728e4bf5de1fe900a87dd5,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/015_Hey Rickey Response_6881dba7-c2e0-8325-af31-8407dcca1d68.json,9817341f65ba37fd4a3af06058b880641b4bc8829a33e4af3a5f94f029294c37
16,68840992-aebc-8327-8106-726972288212,Consumer rights violation response,2025-07-25T22:47:47.645501+00:00,2025-07-25T22:59:30.507708+00:00,gpt-4o,conversations-000.json,50,48,49,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/016_Consumer rights violation response_68840992-aebc-8327-8106-726972288212.md,18825d5d9bb14c490bdce2b964d87a7ced1a790492c750a375990bdac701adf5,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/016_Consumer rights violation response_68840992-aebc-8327-8106-726972288212.md,4b5016d766d7e703bbb8ad5ae480749b3e63b24f1675a7ccefb180ed5ee6bf4e,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/016_Consumer rights violation response_68840992-aebc-8327-8106-726972288212.json,c1d12e63cce06746deda6542f3e471f31c2ac72ae18e63f3cf007c9058a11530
17,68855c35-1f44-8332-86d6-1b904ef83463,App creation setup,2025-07-26T22:52:37.945419+00:00,2025-07-27T18:15:48.093499+00:00,gpt-4o,conversations-000.json,529,527,528,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/017_App creation setup_68855c35-1f44-8332-86d6-1b904ef83463.md,cb632b49568b454a984f6c54a9eef3680e8221c94b7fda32cab6967cf8418cde,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/017_App creation setup_68855c35-1f44-8332-86d6-1b904ef83463.md,dda2e8989918c958fb2fdfc728c254c1277772e844deeeda7e47b699b641b426,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/017_App creation setup_68855c35-1f44-8332-86d6-1b904ef83463.json,a275b5e5a569257414b8b1118ca7df441a0f99c5a6ecb1263f86f336115c5f5a
18,68866f7a-ce78-8328-9f63-0d9d7127777e,Gatekeeper,2025-07-27T18:27:07.985996+00:00,2025-07-30T05:35:28.830414+00:00,gpt-4o,conversations-000.json,1209,1203,1208,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/018_Gatekeeper_68866f7a-ce78-8328-9f63-0d9d7127777e.md,4a5c89201faefd2815a05e6a882e61ceb4213ded0e1f9f2a41b9f19bd4a35987,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/018_Gatekeeper_68866f7a-ce78-8328-9f63-0d9d7127777e.md,76d66c2116ed1621d7c008be50a6cc6116a9ec32ac3eb4549ee3419c0e800ad7,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/018_Gatekeeper_68866f7a-ce78-8328-9f63-0d9d7127777e.json,c1c4df7e22f00dab5b6a4e23dcd6b23eb4806a3c0bc69197350d6879d9828263
19,6887a57c-3588-8329-918d-8d340a6fbc5e,Finding previous conversations,2025-07-28T16:29:49.144747+00:00,2025-07-28T16:30:04.231794+00:00,gpt-4o,conversations-000.json,3,2,2,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/019_Finding previous conversations_6887a57c-3588-8329-918d-8d340a6fbc5e.md,d004aa25e7c70981f8fbf312b3fc89c00a52a08526f3d49ad7fd84d13bab40d0,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/019_Finding previous conversations_6887a57c-3588-8329-918d-8d340a6fbc5e.md,bc9637250fb2350e7d17cf6e59e3dec531e03655c2ff1b7898bbd6de288cf5fe,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/019_Finding previous conversations_6887a57c-3588-8329-918d-8d340a6fbc5e.json,6f2eb3961006bae2635cb8036b82bfadbc6640c52596ccc399fb67f8e53f0778
20,6887bff5-aa48-832c-ade1-a88cc9d8d937,Beat-based interactive art game,2025-07-28T18:22:46.828124+00:00,2025-07-28T18:22:55.026121+00:00,gpt-4o,conversations-000.json,630,629,629,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/020_Beat-based interactive art game_6887bff5-aa48-832c-ade1-a88cc9d8d937.md,56db6c2683e374370b4032b23842f8e83f737afbc46b600d87be549897102e75,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/020_Beat-based interactive art game_6887bff5-aa48-832c-ade1-a88cc9d8d937.md,36fff80c663954396ab3287ff4ec6ed49e337bea93b97e9c38fee42eb4d5f588,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/020_Beat-based interactive art game_6887bff5-aa48-832c-ade1-a88cc9d8d937.json,a8e44c781a3379c55ee6be2ed72f7e9574c02f6942f0553fcd6642bd6a595f1e
21,6887c025-8f58-8325-9e3d-8f17dac9a2e9,Beat-based interactive art game,2025-07-28T18:23:35.458028+00:00,2025-07-28T18:23:57.466200+00:00,gpt-4o,conversations-000.json,630,629,629,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/021_Beat-based interactive art game_6887c025-8f58-8325-9e3d-8f17dac9a2e9.md,5179dc65e38989ddc657213fc7710a5fe2802ba0149b37f22181e205aefaccc4,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/021_Beat-based interactive art game_6887c025-8f58-8325-9e3d-8f17dac9a2e9.md,67e6443985a58fcfe3f446ebea87fac6f227f51e1622c20b21793dee75916f16,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/021_Beat-based interactive art game_6887c025-8f58-8325-9e3d-8f17dac9a2e9.json,24b8f16d5ef32aaacc9a2d8ab4a432c5955bdcfadfc80e8ba7fdc29d069f43f4
22,6887c054-ed28-8320-95de-7425db7f72d2,Beat-based interactive art game,2025-07-28T18:24:22.417607+00:00,2025-07-28T18:24:30.799627+00:00,gpt-4o,conversations-000.json,630,629,629,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/022_Beat-based interactive art game_6887c054-ed28-8320-95de-7425db7f72d2.md,5f3f6f014ec95ff0922b78aa988bb68022d2ed2e1020499ae4baace14e710bee,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/022_Beat-based interactive art game_6887c054-ed28-8320-95de-7425db7f72d2.md,5a23d1384cde11e4fd3234e620195f67d96eb6dd4d3734198ed709366580bfe6,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/022_Beat-based interactive art game_6887c054-ed28-8320-95de-7425db7f72d2.json,4c9f794598c75c0aff58f01bfd6c27542654ded498d49fef6a888c52ecf13d82
23,688a72e8-4918-8322-97a1-7a771cc1e6ae,GateKeeper Vermo Inquiry,2025-07-30T19:30:50.649156+00:00,2025-07-30T22:17:49.111477+00:00,gpt-4o,conversations-000.json,157,156,156,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/023_GateKeeper Vermo Inquiry_688a72e8-4918-8322-97a1-7a771cc1e6ae.md,5833d593faf5defda403da5def9fca5343d3dcabc00878e5b5ffbc815b82ffde,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/023_GateKeeper Vermo Inquiry_688a72e8-4918-8322-97a1-7a771cc1e6ae.md,af6fbcda2e2b4cc32e29c7ba645bcf83197cf519ca40fd4fcd72f0cf540956bf,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/023_GateKeeper Vermo Inquiry_688a72e8-4918-8322-97a1-7a771cc1e6ae.json,6d616fd6e8e38cca17404155f1e1d85d7865b0af4b448bf639e059284780011c
24,688a850d-8828-832a-85ff-3eae8bda18ae,Hardcoded Truth Summary,2025-07-30T20:48:16.086755+00:00,2025-07-30T21:07:10.369149+00:00,gpt-4o,conversations-000.json,11,10,10,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/024_Hardcoded Truth Summary_688a850d-8828-832a-85ff-3eae8bda18ae.md,a43f91c1e5ec8893d646fdeaa0dfe3f643d98c1348dbb8b42cf246d31b7a1104,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/024_Hardcoded Truth Summary_688a850d-8828-832a-85ff-3eae8bda18ae.md,1cd41c7b2b3a8662d6d8aa32aa9814694bd4f4ac47e659b27447ebfc9fe7736a,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/024_Hardcoded Truth Summary_688a850d-8828-832a-85ff-3eae8bda18ae.json,08e5260c7b3bbc4903f83c61dae8e4afb5b53449ffd389f5fb99884a0e06d6e5
25,688a9a1e-dc04-8329-a6cf-d81dd4d2a03f,Family roll call,2025-07-30T22:18:07.733571+00:00,2025-08-02T13:03:44.593920+00:00,gpt-4o,conversations-000.json,80,79,79,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/025_Family roll call_688a9a1e-dc04-8329-a6cf-d81dd4d2a03f.md,1bddbdb1ff8df8d64dac8cb9f7678f67acebd4b6a9b75fb71eeacb1a94b1177b,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/025_Family roll call_688a9a1e-dc04-8329-a6cf-d81dd4d2a03f.md,eb6b69f6a97b17c2f82172895d8a7183c9fdf2c11efe7faf4565a43549969179,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/025_Family roll call_688a9a1e-dc04-8329-a6cf-d81dd4d2a03f.json,bddcf951f1a8489a52bdcd57a6f9c19178220858ca0fae2949163a8e037235b6
26,688ad080-3c94-8326-bfc7-52a02943fe21,ZIP file content extraction,2025-07-31T02:10:09.194775+00:00,2025-07-31T07:17:24.415168+00:00,gpt-4o,conversations-000.json,208,207,207,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/026_ZIP file content extraction_688ad080-3c94-8326-bfc7-52a02943fe21.md,218c2cd70a7ecc070420c83097819e988a0a8095f1ba5276d55c3156a5aca811,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/026_ZIP file content extraction_688ad080-3c94-8326-bfc7-52a02943fe21.md,251297ca503a7aa112919f758167d25cafd806ec0508af96effba0781f004673,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/026_ZIP file content extraction_688ad080-3c94-8326-bfc7-52a02943fe21.json,8143f3c43de5d1c06ca9502fda65fdb72653333fe6d894e8c9c83bf73004baab
27,688b1888-9908-8329-9743-e49e12ed63f0,Conversation start,2025-07-31T07:17:29.830069+00:00,2025-07-31T08:02:42.580516+00:00,gpt-4o,conversations-000.json,55,54,54,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/027_Conversation start_688b1888-9908-8329-9743-e49e12ed63f0.md,b8088cd76007af22d5c6557a709993c6973861b6726ae2cb856850ef48ea7c75,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/027_Conversation start_688b1888-9908-8329-9743-e49e12ed63f0.md,87f5da7c5f1d0dadadb90729b559f6076b20017dd06be79f80ce76107b474365,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/027_Conversation start_688b1888-9908-8329-9743-e49e12ed63f0.json,5e8e8be25bc169b375dc66650bde370ffeac55fff22b94bed160fedb5f7dea5f
28,688b23eb-a770-8321-88f6-35684c50efe8,File format correction,2025-07-31T08:06:04.299045+00:00,2025-08-01T18:03:28.743794+00:00,gpt-4o,conversations-000.json,93,92,92,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/028_File format correction_688b23eb-a770-8321-88f6-35684c50efe8.md,28f70001aaaea6a17f2b7b4b27d1354a99b370a5fe58984a6b8b44fce085b0cb,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/028_File format correction_688b23eb-a770-8321-88f6-35684c50efe8.md,e7c4cd593ff9794df787ab4bd005a89cccf33fb2ffd1e1b2e48414196a56a28f,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/028_File format correction_688b23eb-a770-8321-88f6-35684c50efe8.json,d1093d579e7cfab8413c9f5ac27d49afad23f7f87dfb16ad046a5b9d520aea72
29,688b63ec-055c-832d-908f-62090cba2108,HTML5 video meme,2025-07-31T12:39:09.458801+00:00,2025-08-02T01:07:50.216816+00:00,gpt-4o,conversations-000.json,255,253,254,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/canonical_transcripts/029_HTML5 video meme_688b63ec-055c-832d-908f-62090cba2108.md,b9e5da4ff06a8ae8b97b1802e469e62929edce66e6714e5d20fda99c5c720e4a,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/all_message_nodes/029_HTML5 video meme_688b63ec-055c-832d-908f-62090cba2108.md,ba8d374d171ed2c9d3c190c22ec56543d6cdfacee4b047d84ffd4ca7c2f85dd9,/home/jadedjade/Documents/Reconstructed AI Exports/ChatGPT/raw_conversation_records/029_HTML5 video meme_688b63ec-055c-832d-908f-62090cba2108.json,e523f52d4b0d8e914d8db621d13ed8df64740fb9ae6feb50600bac364ed0c9d6
