run_number,title,display_title,source_csv_start_row,source_csv_end_row,message_count,earliest_time,latest_time,transcript_path,transcript_sha256
35,Inquiries About Product Materials and Restrictions,Inquiries About Product Materials and Restrictions,1135,1138,4,2026-05-04T04:14:41,2026-05-04T04:14:52,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/035_Inquiries About Product Materials and Restrictions.md,3c1a31ae4cf11711347de7c724d6783ea8115f1aca20910e65d87bd77feffff3
36,Delayed Response and Clarification Request,Delayed Response and Clarification Request,1139,1152,14,2026-04-24T00:27:10,2026-04-24T00:50:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/036_Delayed Response and Clarification Request.md,39a2cd1655bcffc9cef740cba00db6d911d0d0555923eec0897526de92b784ba
37,InTown Suites Wi-Fi Details,InTown Suites Wi-Fi Details,1153,1154,2,2026-04-23T19:41:47,2026-04-23T19:41:47,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/037_InTown Suites Wi-Fi Details.md,59c09a1357e7d2334681dbc1d3bff193916f88bde0d7e8d25225a9e3f283402c
38,Cheap DIY Power Generation Methods,Cheap DIY Power Generation Methods,1155,1168,14,2026-04-23T13:47:32,2026-04-23T13:56:01,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/038_Cheap DIY Power Generation Methods.md,3818b0b8e84f688843232dcadccc973c160baff78dca6512a0169bd4c87ebfe9
39,Solving the Harmonic Interface Puzzle in No Man’s Sky,Solving the Harmonic Interface Puzzle in No Man’s Sky,1169,1174,6,2026-04-23T11:38:21,2026-04-23T11:41:16,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/039_Solving the Harmonic Interface Puzzle in No Man’s Sky.md,0066ab6b23bd17a955e204352ad1581705a179b3914cb6c7286f94853ad1e4fe
40,,Untitled conversation run 040,1175,1182,8,2026-04-18T02:28:32,2026-04-18T02:32:04,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/040_Untitled conversation run 040.md,e7f79d9458d41633907f2fffe1c402336b5cd2a6a0f93edd316f75e1636ed2d2
41,Anthropic Terms and Misrepresentation Concerns,Anthropic Terms and Misrepresentation Concerns,1183,1184,2,2026-04-18T02:16:12,2026-04-18T02:16:12,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/041_Anthropic Terms and Misrepresentation Concerns.md,615827e3a3a7ee2664d9e8c40678edfaa48551bdc2d739cbf7588d9f239e7128
42,Clarifying Shizuku and Android Modding Tools,Clarifying Shizuku and Android Modding Tools,1185,1202,18,2026-04-18T00:49:30,2026-04-18T00:55:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/042_Clarifying Shizuku and Android Modding Tools.md,a3ab1e8685f560ee7efaba8b1973701696d874ec90a0eee40b20acf5c2d388b2
43,Tools for Document Word and Character Count,Tools for Document Word and Character Count,1203,1204,2,2026-04-15T13:34:31,2026-04-15T13:34:31,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/043_Tools for Document Word and Character Count.md,7da6e737d4d1c9d861a16a3a4a71df3dc663bc900b72cdeaa176f46d8b4dcec9
44,Websites for Document Word and Character Counting,Websites for Document Word and Character Counting,1205,1206,2,2026-04-14T16:54:08,2026-04-14T16:54:08,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/044_Websites for Document Word and Character Counting.md,096566dfb6a8862d1a69df58d68c16acc7639fdf1d08ccfbb26a729043a78b40
45,,Untitled conversation run 045,1207,1236,30,2026-04-06T06:21:05,2026-04-06T06:50:16,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/045_Untitled conversation run 045.md,81706f5889013c68351939e9dca45ea12154eee741c5248885fd8af4c3276ea4
46,Overview of Accutane (Isotretinoin) for Acne Treatment,Overview of Accutane (Isotretinoin) for Acne Treatment,1237,1246,10,2026-04-03T04:55:08,2026-04-03T05:00:56,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/046_Overview of Accutane (Isotretinoin) for Acne Treatment.md,fb7ce36fb023898d87099eea8b7da0b7503532c8ff49f18748ce8c623c128521
47,Recovering Deleted OneDrive Files,Recovering Deleted OneDrive Files,1247,1262,16,2026-04-02T14:24:09,2026-04-02T14:36:16,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/047_Recovering Deleted OneDrive Files.md,94610c558964bf617ee150ec5d488cebf56f56473b6136f6b698eef9e1ba5355
48,Changing File Size Units in Windows Explorer,Changing File Size Units in Windows Explorer,1263,1264,2,2026-04-02T02:09:55,2026-04-02T02:09:55,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/048_Changing File Size Units in Windows Explorer.md,7220b19c820a34d16a0a2f857eefdb549c84c24722d6b610c311ecd10633ae0c
49,Creating a Folder in Outlook for Submissions,Creating a Folder in Outlook for Submissions,1265,1280,16,2026-03-31T20:10:28,2026-03-31T20:21:25,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/049_Creating a Folder in Outlook for Submissions.md,4563df991b11ecad07cdc9e5a3f8997716a050a5b77f18fe6769477ea3eed257
50,Switching Carriers with BYOD Deals,Switching Carriers with BYOD Deals,1281,1344,64,2026-03-28T15:19:36,2026-03-28T18:03:35,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/050_Switching Carriers with BYOD Deals.md,3f472fd646951ffee32d1877cff08bbca980acb5f65483fa21cdaaea92c50fff
51,,Untitled conversation run 051,1345,1349,5,2026-03-12T18:06:15,2026-03-15T20:41:19,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/051_Untitled conversation run 051.md,45aa80a0f6ad072c99b602e6f9a7719eab3c35ab6e389dee7cf8b4d3894e4715
52,How to Contact Anthropic's Governance Teams,How to Contact Anthropic's Governance Teams,1350,1371,22,2026-03-07T21:44:48,2026-03-07T21:59:42,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/052_How to Contact Anthropic's Governance Teams.md,5b988734b30d53bfa4c0a91447d2ae90badb4edb36b8d808cf5918263b3435be
53,Installing WebSocket Libraries for DOM Bridge,Installing WebSocket Libraries for DOM Bridge,1372,1373,2,2026-03-03T23:03:57,2026-03-03T23:03:57,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/053_Installing WebSocket Libraries for DOM Bridge.md,2e22f075e3731d991e1a004ac23dbb818c0a1db4182b486945e425d791a3dfcf
54,Starting an Open Discussion,Starting an Open Discussion,1374,1379,6,2026-03-03T11:27:21,2026-03-03T11:30:58,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/054_Starting an Open Discussion.md,b9c676ee58779bb8de968ebf340f943dcbc52d655c3d59aa712eda2bdc4deb37
55,Exposing Local JS via Tunnels,Exposing Local JS via Tunnels,1380,1389,10,2026-03-03T08:55:40,2026-03-03T08:59:08,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/055_Exposing Local JS via Tunnels.md,94714468a21d691da330b0b16cef82f09257bde2bd76345a343a577edd484ec3
56,Foundational Premise of Self-Existence,Foundational Premise of Self-Existence,1390,1480,91,2026-03-03T04:16:48,2026-03-03T06:56:54,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/056_Foundational Premise of Self-Existence.md,841ef735961a638e67c72c241c8917b2f77d5bdcf6f29b99072af0df77c0cac6
57,"Understanding the ""content:"" Folder on Android","Understanding the ""content:"" Folder on Android",1481,1490,10,2026-03-02T11:51:43,2026-03-02T11:55:01,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/057_Understanding the _content_ Folder on Android.md,1c9a4ec689a35436beb5de459ea9060f9d97ea0412e2b93273410b3e49641493
58,OSF Homepage and Sign-Up Links,OSF Homepage and Sign-Up Links,1491,1492,2,2026-02-28T17:43:13,2026-02-28T17:43:13,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/058_OSF Homepage and Sign-Up Links.md,4904b3cb60798fb0ffae969ffc1bddd385a5f25df7e230115a25d5af89133b64
59,Williamson County Ticket Payment Links,Williamson County Ticket Payment Links,1493,1615,123,2026-02-28T13:36:11,2026-02-28T15:56:22,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/059_Williamson County Ticket Payment Links.md,1bf45f1ebdad3abbcc7bcd0a7ee2972205d18d9badd78b20cff8f310ea553b15
60,Help with OneDrive File Access,Help with OneDrive File Access,1616,1617,2,2026-02-28T15:43:39,2026-02-28T15:43:39,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/060_Help with OneDrive File Access.md,68e301191193066c848586d850b10a87a50f38e64897f7ed085cdd3418ac8afe
61,Google Assistant Privacy Settlement,Google Assistant Privacy Settlement,1618,1621,4,2026-02-27T05:31:12,2026-02-27T05:33:02,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/061_Google Assistant Privacy Settlement.md,9d5c3fe3125d304f11d5f1e15c51394b7787a77c1463da6b1d56551dc1351410
62,Equipping the Power Skeleton in Death Stranding,Equipping the Power Skeleton in Death Stranding,1622,1643,22,2026-02-25T12:40:57,2026-02-25T15:05:48,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/062_Equipping the Power Skeleton in Death Stranding.md,6eb0bdaf10bb5ab772af5c9dd647a70d9b384e3ded1f6c7b81e3a7712051bdac
63,Getting Out of the Bed in Death Stranding,Getting Out of the Bed in Death Stranding,1644,1675,32,2026-02-24T08:16:11,2026-02-24T11:14:14,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/063_Getting Out of the Bed in Death Stranding.md,523bb067be0f6d12cc4bd5026ae5d11849ed94b22fa39d5413751fd33ab56975
64,Checking In and Sharing the Mood,Checking In and Sharing the Mood,1676,1685,10,2026-02-23T20:26:04,2026-02-23T20:39:14,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/064_Checking In and Sharing the Mood.md,845b4262c299a94074336311b2af339f97188c1df82a4bea3b7fb50b5158a372
65,Finding the Shovel in Kingdom Come: Deliverance,Finding the Shovel in Kingdom Come: Deliverance,1686,1687,2,2026-02-23T15:28:36,2026-02-23T15:28:36,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/065_Finding the Shovel in Kingdom Come_ Deliverance.md,2c981439f9e60779fec75ccb48fa93249b4a367055cedcee504c495c25b972da
66,Chinese Military Robot Demonstration Video,Chinese Military Robot Demonstration Video,1688,1689,2,2026-02-23T10:18:23,2026-02-23T10:18:23,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/066_Chinese Military Robot Demonstration Video.md,182606b681c6c4d90606a61e81e3b32148f088e847c1d1d5c48ef331bdf9e5dc
67,ai||os,ai||os,1690,1823,134,2026-02-17T02:49:58,2026-02-22T05:28:00,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/067_ai_os.md,bb84632e55b0e1f8d9e5fb639ff4472604fa07a4b59954a1e21eb68d8c97f999
68,Best Apps for Custom Audio Recording,Best Apps for Custom Audio Recording,1824,1831,8,2026-02-20T12:01:00,2026-02-20T12:08:13,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/068_Best Apps for Custom Audio Recording.md,17ba3677fce9ad9e16f5bf890fd9d5a90588170dd6aabac0ce4feb30599ef608
69,Piezo Mics for Voice Training,Piezo Mics for Voice Training,1832,1833,2,2026-02-19T00:04:11,2026-02-19T00:04:11,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/069_Piezo Mics for Voice Training.md,07eaed979687f981d20ff817fab0a29c90f7398dc42a545a9c5a2f1d63718e00
70,SanDisk Repair Utility Information,SanDisk Repair Utility Information,1834,1835,2,2026-02-18T10:40:20,2026-02-18T10:40:20,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/070_SanDisk Repair Utility Information.md,0ef535edc6872ae2f35c7178773099f05e55b9ad8d33a8f9b1887ddfc4d7cef3
71,Rooting Challenges for TCL K32 5G,Rooting Challenges for TCL K32 5G,1836,1877,42,2026-02-15T06:20:03,2026-02-15T06:53:25,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/071_Rooting Challenges for TCL K32 5G.md,dd62f1d15cb6456738d921ca58b99540c10febfe5dd4ef55c249e1f8c8d4c755
72,Anno: Strangulation Puzzle Walkthrough,Anno: Strangulation Puzzle Walkthrough,1878,1891,14,2026-02-14T04:50:59,2026-02-14T05:28:31,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/072_Anno_ Strangulation Puzzle Walkthrough.md,ca4a2dc0d090ca013a0783ccb3676a56cf1ae65e7e0155c8f8f915c53bb93785
73,Impact Texas Adult Drivers Requirement,Impact Texas Adult Drivers Requirement,1892,1899,8,2026-02-11T14:54:34,2026-02-11T14:57:23,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/073_Impact Texas Adult Drivers Requirement.md,04c5e1bf84f1a2f96b59559b7e482d712cbb558b600ba68e78c5a21dc90f17b6
74,BLOOD‑R.A.M. + Dragonfly Mathematical Formalism,BLOOD‑R.A.M. + Dragonfly Mathematical Formalism,1900,2017,118,2025-08-22T00:58:43,2026-02-11T14:06:58,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/074_BLOOD‑R.A.M. + Dragonfly Mathematical Formalism.md,701b1f15fd6010898da3ac9718e2d17c2ca92e0c15f9e870cd374f82dd227f09
75,Guide to Buying Rewritable RFID Key Fobs,Guide to Buying Rewritable RFID Key Fobs,2018,2023,6,2026-02-09T01:47:24,2026-02-09T01:51:59,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/075_Guide to Buying Rewritable RFID Key Fobs.md,dd8a42ed9f31ab68c17b120998efcaae3da744b2226bded6b3090a80046993f1
76,Top Android Bug Report Analysis Tools,Top Android Bug Report Analysis Tools,2024,2025,2,2026-02-06T00:23:40,2026-02-06T00:23:40,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/076_Top Android Bug Report Analysis Tools.md,f691eeec28771d6166650657f18b84612c7c732a20f155bcf0369bfe203c1806
77,Switching Google Play Games Account for Doom & Destiny,Switching Google Play Games Account for Doom & Destiny,2026,2033,8,2026-02-05T06:56:59,2026-02-05T07:01:23,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/077_Switching Google Play Games Account for Doom & Destiny.md,7a66f0b9c421e7e1fbb8595fad3968a6b559142e268cbe577912c00fbbcec64a
78,Customizing Windows Discover Feed for AI News,Customizing Windows Discover Feed for AI News,2034,2091,58,2026-02-03T19:29:40,2026-02-04T13:24:56,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/078_Customizing Windows Discover Feed for AI News.md,83911023c0b1cf52ee8150535b07c6e253c28a7f0cab6cafe67729d69b5385b1
79,Troubleshooting Starlink Router Setup Issues,Troubleshooting Starlink Router Setup Issues,2092,2095,4,2026-02-02T20:36:37,2026-02-02T20:38:17,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/079_Troubleshooting Starlink Router Setup Issues.md,acfe5115fa1e57b8a52803c9740803037c1a774359b97f8cdf4c7fdc986538f8
80,Customizing Scooter P-Code Settings,Customizing Scooter P-Code Settings,2096,2127,32,2026-02-02T10:04:08,2026-02-02T10:28:40,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/080_Customizing Scooter P-Code Settings.md,50cfa5bfbb1aa994e4f34affd9232b2d401f55ff74116ea6ec3afa6deb8b8f99
81,Setting Up Grindr Plus Safely,Setting Up Grindr Plus Safely,2128,2133,6,2026-01-29T16:45:54,2026-01-29T16:47:52,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/081_Setting Up Grindr Plus Safely.md,8e046387fda1f68386c6bedffeb56cceef3720260b9532b130cfc470e184c03d
82,Generating SHA-256 Hashes,Generating SHA-256 Hashes,2134,2141,8,2026-01-26T08:58:53,2026-01-26T09:04:47,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/082_Generating SHA-256 Hashes.md,d222465f966d766457529ae83edeab6efdb26ff82d89ae0e3322f49367c0adf6
83,Checking for DMV License Blocks in Texas,Checking for DMV License Blocks in Texas,2142,2149,8,2026-01-25T04:49:36,2026-01-25T04:53:45,/home/jadedjade/Documents/Reconstructed AI Exports/Copilot/transcripts/083_Checking for DMV License Blocks in Texas.md,c2c412e2166e9aa75676e5daff4f0aaa0266dc1017fa131f8e7f4636f06658ef
